no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
136778;136778;S6 19.857 E106 45.761;;;Jakarta;47.6;46.5;94.1;Plumpang
370115;370115;S6 06.407 E106 46.518;;;Jakarta;20.5;21.7;42.2;Plumpang
710880;710880;S6 09.397 E106 53.186;;;Jakarta;4.6;6.9;11.5;Plumpang
710881;710881;S6 14.539 E106 42.744;;;Jakarta;53.8;40.8;94.6;Plumpang
710882;710882;S6 14.545 E106 42.776;;;Jakarta;54.1;40.9;95;Plumpang
710886;710886;S6 14.289 E107 00.063;;;Jakarta;31.2;34.9;66.1;Plumpang
710890;710890;S6 44.349 E106 49.135;;;Jakarta;77.5;76.7;154.2;Plumpang
710891;710891;S6 17.776 E106 48.870;;;Jakarta;34;34.7;68.7;Plumpang
710900;710900;S6 14.626 E106 51.640;;;Jakarta;14.4;22.4;36.8;Plumpang
710946;710946;S6 18.291 E106 55.415;;;Jakarta;27;29.8;56.8;Plumpang
710951;710951;S6 31.872 E107 39.374;;;Jakarta;117;126;243;Plumpang
715700;715700;S6 07.670 E106 48.460;;;Jakarta;14.7;19.4;34.1;Plumpang
744596;744596;S6 33.277 E106 49.154;;;Jakarta;59.7;57.7;117.4;Plumpang
805608;805608;S6 08.014 E106 49.887;;;Jakarta;15.8;25.5;41.3;Plumpang
805817;805817;S6 32.584 E106 45.573;;;Jakarta;69.6;66.8;136.4;Plumpang
31-10202;3110202;S6 10.716 E106 49.108;;;Jakarta;35.1;30.2;65.3;Plumpang
31-10303 (Dex);3110303;S6 11.769 E106 50.423;;;Jakarta;18.9;15.9;34.8;Plumpang
31-10304;3110304;S6 11.295 E106 49.644;;;Jakarta;14.4;15.8;30.2;Plumpang
31-10701;3110701;S6 08.967 E106 50.315;;;Jakarta;19.8;14.3;34.1;Plumpang
31-10702 (dex);3110702;S6 09.625 E106 50.080;;;Jakarta;18.3;15.9;34.2;Plumpang
31-10703;3110703;S6 08.892 E106 49.854;;;Jakarta;13.5;16.8;30.3;Plumpang
31-11403 (Dex);3111403;S6 09.977 E106 47.235;;;Jakarta;17.8;23.2;41;Plumpang
31-11404;3111404;S6 10.578 E106 48.092;;;Jakarta;17.8;23.2;41;Plumpang
31-11802;3111802;S6 09.316 E106 42.675;;;Jakarta;21;19.6;40.6;Plumpang
31-12203;3112203;S6 13.292 E106 47.424;;;Jakarta;31.8;30.4;62.2;Plumpang
31-12204 (Dex);3112204;S6 15.568 E106 46.932;;;Jakarta;44;41.6;85.6;Plumpang
31-12401 (Dex);3112401;S6 16.335 E106 47.843;;;Jakarta;32.4;34.1;66.5;Plumpang
31-12402;3112402;S6 16.351 E106 47.875;;;Jakarta;21.5;24.4;45.9;Plumpang
31-12701 (Dex);3112701;S6 16.416 E106 49.136;;;Jakarta;35.4;31.8;67.2;Plumpang
31-12702;3112702;S6 14.406 E106 49.233;;;Jakarta;26.4;23.5;49.9;Plumpang
31-12802 (Dex);3112802;S6 14.565 E106 51.139;;;Jakarta;21.1;23.1;44.2;Plumpang
31-12902 (dex);3112902;S6 13.713 E106 50.010;;;Jakarta;25.2;27.9;53.1;Plumpang
31-13101;3113101;S6 11.580 E106 51.847;;;Jakarta;16;9.5;25.5;Plumpang
31-13301;3113301;S6 13.872 E106 52.050;;;Jakarta;29.6;13.8;43.4;Plumpang
31-13401;3113401;S6 12.750 E106 54.005;;;Jakarta;19.1;14.1;33.2;Plumpang
31-13402;3113402;S6 14.846 E106 55.090;;;Jakarta;11.1;16.9;28;Plumpang
31-13602;3113602;S6 15.607 E106 52.069;;;Jakarta;22.4;16.2;38.6;Plumpang
31-13701;3113701;S6 21.172 E106 51.749;;;Jakarta;30.5;45.2;75.7;Plumpang
31-13901;3113901;S6 10.944 E106 56.050;;;Jakarta;12.9;11.5;24.4;Plumpang
31-13902;3113902;S6 10.950 E106 54.814;;;Jakarta;14.6;15.3;29.9;Plumpang
31-14301;3114301;S6 08.727 E106 53.380;;;Jakarta;2.9;5.3;8.2;Plumpang
31-15102 (dex);3115102;S6 12.036 E106 38.437;;;Jakarta;52.9;47.8;100.7;Plumpang
31-15103;3115103;S6 10.729 E106 39.559;;;Jakarta;55.7;35.5;91.2;Plumpang
31-15104;3115104;S6 13.311 E106 37.227;;;Jakarta;49.3;45.7;95;Plumpang
31-15301;3115301;S6 17.717 E106 40.825;;;Jakarta;56.9;52.3;109.2;Plumpang
31-15302;3115302;S6 16.487 E106 39.488;;;Jakarta;58.3;37.6;95.9;Plumpang
31-15303;3115303;S6 14.618 E106 38.963;;;Jakarta;32.9;30.4;63.3;Plumpang
31-15401;3115401;S6 16.788 E106 43.076;;;Jakarta;28.7;35.2;63.9;Plumpang
31-15402;3115402;S6 18.138 E106 45.648;;;Jakarta;33.9;45.6;79.5;Plumpang
31-15701;3115701;S6 14.730 E106 31.727;;;Jakarta;64.9;57.8;122.7;Plumpang
31-16101;3116101;S6 35.105 E106 46.887;;;Jakarta;63.9;64.01;127.91;Plumpang
31-16113;3116113;S6 34.453 E106 47.310;;;Jakarta;39.4;40.3;79.7;Plumpang
